playlist_id,playlist_name,song_id,song_name,artist_id,artist_name,album_id,album_name,song_duration
756696876,薛之谦的宝藏歌曲,1861640530,变废为宝,5781,薛之谦,130455751,变废为宝,4:39
756696876,薛之谦的宝藏歌曲,474567044,我害怕,5781,薛之谦,36855053,渡,4:08
756696876,薛之谦的宝藏歌曲,1374061036,这么久没见,5781,薛之谦,80003734,尘,4:55
5086836300,羽·泉,390981,最美,13418,羽·泉,38731,最美,5:00
5086836300,羽·泉,390990,回头想想,13418,羽·泉,38731,最美,4:54
5086836300,羽·泉,390992,怎么能够,13418,羽·泉,38731,最美,4:17
5086836300,羽·泉,391003,海,13418,羽·泉,38731,最美,6:21
5086836300,羽·泉,390965,叶子,13418,羽·泉,38729,冷酷到底,5:02
5086836300,羽·泉,390966,风声边界,13418,羽·泉,38729,冷酷到底,4:45
5086836300,羽·泉,390844,天使 (For My Angel),13418,羽·泉,38716,没你不行,4:31
5086836300,羽·泉,390846,因为爱,13418,羽·泉,38716,没你不行,4:32
20111218,逃跑计划-逃不掉的热爱,1342505148,When I Was Your Man (Live),12977,逃跑计划,75312908,歌手2019 第3期,4:07
20111218,逃跑计划-逃不掉的热爱,1423479833,伟大的友谊,12977,逃跑计划,85742215,伟大的友谊,3:16
20111218,逃跑计划-逃不掉的热爱,1872384996,Nothing Beats Like A Heart,12977,逃跑计划/The Midnight,132224748,Nothing Beats Like A Heart,4:22
20111218,逃跑计划-逃不掉的热爱,1340001858,你的爱情 (Live),12977,逃跑计划,75137183,歌手2019 第2期,5:53
20111218,逃跑计划-逃不掉的热爱,553546141,重来 (Live版),12977,逃跑计划,38389035,声音玩具＆逃跑计划·专场,4:52
20111218,逃跑计划-逃不掉的热爱,553544146,Wonderful (Live版),12977,逃跑计划,38389035,声音玩具＆逃跑计划·专场,5:05
20111218,逃跑计划-逃不掉的热爱,553544144,Sorry (Live版),12977,逃跑计划,38389035,声音玩具＆逃跑计划·专场,4:39
623907792,尚雯婕我是歌手合辑,28406535,Empire  State  of  Mind,9276,尚雯婕,2786417,我是歌手第二季 双年巅峰会,4:43
623907792,尚雯婕我是歌手合辑,25702228,最终信仰,9276,尚雯婕,2282021,我是歌手第一季 第1期,5:05
623907792,尚雯婕我是歌手合辑,25702221,你怎么舍得我难过 (Live) - (原唱：黄品源),9276,尚雯婕,2282020,我是歌手第一季 第2期,5:28
623907792,尚雯婕我是歌手合辑,25714081,Let's Get It Started (Live) - (原唱：The Black Eyed Peas),9276,尚雯婕,2290005,我是歌手第一季 第3期,3:50
623907792,尚雯婕我是歌手合辑,25714275,可惜不是你 (Live) - (原唱：梁静茹),9276,尚雯婕,2290028,我是歌手第一季 第4期,5:23
623907792,尚雯婕我是歌手合辑,25714354,Man In The Mirror (Live),9276,尚雯婕,2290034,我是歌手第一季 第5期,5:02
623907792,尚雯婕我是歌手合辑,25723154,王妃 (Live),9276,尚雯婕,2298011,我是歌手第一季 第6期,3:48
623907792,尚雯婕我是歌手合辑,25730244,Moves Like Jagger (Live),9276,尚雯婕,2302089,我是歌手第一季 第7期,4:17
623907792,尚雯婕我是歌手合辑,25782711,Super star (Live),9276,尚雯婕,2315090,我是歌手第一季 第8期,3:03
623907792,尚雯婕我是歌手合辑,25984154,Dog Days Are Over (Live),9276,尚雯婕,2353004,我是歌手第一季 第9期,4:44
2812981254,五月天|人生无限公司歌单,386181,让我照顾你,13193,五月天,38259,神的孩子都在跳舞,3:59
1129216,动力火车百万全纪录,5260505,终于明白 - (电视剧《仙剑奇侠传》片尾曲),11363,动力火车,512384,Listen To HIM,4:26
1129216,动力火车百万全纪录,25986124,艾琳娜(Elena),11363,动力火车,2355016,光,4:08
1129216,动力火车百万全纪录,351444,无情的情书,11363,动力火车,34629,无情的情书,5:08
1129216,动力火车百万全纪录,351108,明天的明天的明天,11363,动力火车,34588,就是红 光辉全纪录,6:43
1129216,动力火车百万全纪录,351305,背叛情歌,11363,动力火车,34617,背叛情歌,5:05
1129216,动力火车百万全纪录,351198,第二次分手,11363,动力火车,34606,百万全纪录,5:28
1129216,动力火车百万全纪录,351446,不甘心不放手,11363,动力火车,34629,无情的情书,5:16
